 Africa	 Isla de Canarias
 Alameda, California	 Dublin, Ca
 Alameda County, California	 Albany
 Alameda County, California	 Union City, Alameda Co
 Alaska	 Barrow, AK
 Alaska	 Cordova, AK
 Alaska	 Sitka
 Alaska	 Skagaway, AK
 Alaska	 Wrangel Is.
 Arizona	 Superior, AZ
 Arizona	 Superior, Pinal Co, AZ
 Armenia	 Armenia?
 Australia	 Sidney, Australia
 Australia	 Sydney, New South Wales, Australia
 Baja California, Mexico	 Baja California Norte, MX
 Baja California, Mexico	 Baja California Norte, MX
 Baja California Norte, MX	 Cedros Is
 Baja California Norte, MX	 Guadalupe Island, Mexico
 Baja California Norte, MX	 Tecate, Mexico
 Baltimore, Maryland	 Baltimore, MD.
 Barcelona, Spain	 Barcolona, Spain
 Barstow, California	 Barstow area
 Belgium	 Belgium?
 Berkeley, California	 Berkeley?
 Bhutan	 Bhutan?
 Bismarck, North Dakota	 Bismark, ND
 Boston, Massachusetts	 Boston. MA
 Boston, Massachusetts	 South Boston
 Brazil	 Divina de Uba, Minas Geraes, Brazil
 Brazil	 Governador Valladares, Minas Gerais, Brazil
 Brazil	 Minas Geraes, Brazil
 Brazil	 Minas Gerais, Sete Iagoas, Brazil
 Brazil	 Villa Rica, Brazil
 British Columbia, Canada	 Vancouver, B.C.
 British Columbia, Canada	 Vancouver Heights B.C., Canada
 British Columbia, Canada	 Victoria, B.C.
 Butte County, California	 Cherokee Flat
 Calaveras County, California	 Camp Angeles
 California	 Baja
 California	 Nova Albion
 California	 San Bernardino Co.
 Calistoga, California	 Calistoga, Napa Co
 Canada	 Canada?
 Canada	 Manitoba
 Canada	 Montreal, Canada
 Channel Islands	 Anacapa Island
 Channel Islands	 Anacapa Island
 Channel Islands, California	 Channel Islands
 Chile	 Calama, Minaquetena, Chile
 Chile	 Galama, Minaquetena, Chile
 China	 Canton, China
 China	 Kwangchow, China
 China	 Nan-King, China
 China	 Peiping, China
 China	 Peking
 China	 Peking, China
 China	 Shantung Province, China
 Cochise County, Arizona	 Tombstone, Cochise Co, AZ
 Coconino County, Arizona	 Coconino Co,AZ
 Colorado	 Boulder Co, CO
