023ff822-d622-465a-8002	2021-06-20T22:04:54.790Z	2 - BEFORE THE OTHER PEOPLE CAME before 1540
0624b7cb-4a23-4666-b4a7	2021-06-20T22:04:52.629Z	Seeking the Good Life in Southern California
0b84f28f-a9cf-41d1-a0ce	2021-06-20T22:04:47.393Z	Framed Artwork Labels (Object)
0b98b78d-bfa2-4be9-a654	2021-06-20T22:04:50.229Z	current location grid with note (group)
0d3a6d4a-9b01-42a2-a2d2	2016-07-26T16:33:43.340Z	Framed Artwork Labels
0e21272c-8ec3-4756-a11e	2021-06-20T22:04:40.646Z	OMCA Value by Group
0e3224f0-1d68-49f9-b3ec	2021-06-20T22:04:42.720Z	Group Object Ethnographic Object List
0fe285c3-767a-42f5-99bd	2021-06-20T22:04:54.093Z	Legan los Viajeros Distantes (Distant Travelers Arrive)
106bb893-247d-4734-ac5b	2021-06-20T22:04:59.547Z	OMCA All Locations
11420be4-c27b-4f6e-ba1e	2021-06-20T22:04:59.346Z	Basic Condition (Condition)
154bfcea-3758-4a2b-911e	2021-06-20T22:04:45.222Z	Acquisition Summary
198bab98-b03b-449f-980d	2021-06-20T22:04:58.383Z	Extended Condition (Condition)
1f5f9c22-2824-408e-b832	2021-06-20T22:04:49.074Z	Current Location (Loan In)
23d96c46-caee-49bc-aa4b	2021-06-20T22:04:53.279Z	Cornucopia California
2630f031-7974-4765-b2e1	2021-06-20T22:04:48.371Z	Condition Report Form (Loan Out)
26ec7956-431d-4720-940e	2021-06-20T22:04:55.027Z	Condition Report Form (Object)
28191d62-8db2-4c68-ad2a	2021-06-20T22:04:50.449Z	label book section locations
2ddb888d-6170-4b22-8f62	2021-06-20T22:04:51.551Z	Building Modern California
30869f61-3a5d-4261-9b0e	2021-06-20T22:04:58.162Z	Individual Treatment (Conservation)
32a97854-67bc-4319-ae9e	2021-06-20T22:04:55.947Z	Framed Artwork Labels (Loan Out)
34b0b315-2536-43cd-8b45	2021-06-20T22:04:54.295Z	OMCA Loan in - filter by status
35f60a10-7600-43c4-b352	2021-06-20T22:04:47.661Z	Current Location Grid w/ note (loc)
3b56c673-a211-47cc-808b	2021-06-20T22:04:45.457Z	Condition Check Form (Object)
3d639c50-ab8b-4cc0-9bdc	2021-06-20T22:04:43.765Z	OMCA Value Totals by Broad Location
41842322-fff7-485f-9cc6	2021-06-20T22:04:59.974Z	Analysis (Conservation)
4c50a0c8-8f91-43f9-9d47	2021-06-20T22:04:59.020Z	Comprehensive Condition and Treatment (Object)
5107a173-5c54-4871-9146	2021-06-20T22:04:55.257Z	1 - WELCOME TO CALIFORNIA
5151b987-6964-4f9d-903f	2021-06-20T22:04:50.003Z	Current Location Loan Out (grid)
